Month,Year,Product,Volume,FOB_value_000,"Avg_FOB
"
Jun,2019.00,Copra,278.00,355.12,1277.00
Jul,2019.00,Copra,137.00,180.51,1318.00
Aug,2019.00,Copra,280.00,342.38,1223.00
Sept,2019.00,Copra,328.00,413.34,1260.00
Oct,2019.00,Copra,382.00,496.82,1301.00
Nov,2019.00,Copra,447.00,593.99,1329.00
Dec,2019.00,Copra,587.00,787.70,1342.00
Jan,2020.00,Copra,515.00,715.89,1391.00
Feb,2020.00,Copra,271.00,384.57,1419.00
Mar,2020.00,Copra,116.00,165.13,1424.00
Apr,2020.00,Copra,32.00,48.66,1521.00
May,2020.00,Copra,21.00,31.11,1481.00
Jun,2020.00,Copra,0.20,8.88,-
Jul,2020.00,Copra,44.00,80.45,1828.00
Aug,2020.00,Copra,-,-,-
Sept,2020.00,Copra,22.00,56.34,2561.00
Oct,2020.00,Copra,29.00,56.55,1950.00
Nov,2020.00,Copra,22.00,50.70,2305.00
Dec,2020.00,Copra,10.00,22.11,2211.00
Jan,2021.00,Copra,1.00,4.08,7036.00
Feb,2021.00,Copra,11.00,27.46,2497.00
Mar,2021.00,Copra,11.00,32.59,2962.00
Apr,2021.00,Copra,21.00,36.21,1724.00
